Date,Open,High,Low,Close,Volume,Adj Close
1993-04-20,71.125105,72.875105,71.000094,72.875105,1825000,34.716545
1993-04-19,70.125094,70.750097,69.000097,70.625106,2143200,33.644681
1993-04-16,72.750094,73.00011,70.875108,71.125105,2161300,33.882873
1993-04-15,72.750094,73.375098,72.375106,73.00011,2118700,34.776095
1993-04-14,72.12511,73.250113,71.375101,73.00011,2910200,34.776095
1993-04-13,73.375098,74.875102,70.125094,71.250109,5995200,33.942423
1993-04-12,69.625101,72.000105,69.250093,72.000105,2291900,34.299709
1993-04-08,68.250108,69.750105,67.750089,68.750101,1845900,32.751458
1993-04-07,66.375096,68.250108,66.1251,68.250108,2362400,32.51327
1993-04-06,66.500101,67.0001,66.000089,66.375096,1662600,31.620044
1993-04-05,63.375088,65.625101,63.250096,65.500096,1416200,31.203208
1993-04-02,64.625096,64.875092,62.625099,62.750084,2531900,29.893146
1993-04-01,66.500101,66.500101,65.125089,65.125089,1370900,31.02456
1993-03-31,66.750104,67.125092,66.1251,66.250092,2111400,31.560494
1993-03-30,64.750088,67.0001,64.500091,66.750104,1474600,31.798691
1993-03-29,65.125089,66.1251,64.375099,64.625096,2206600,30.786371
1993-03-26,65.625101,66.500101,65.000103,65.2501,1391300,31.084113
1993-03-25,64.250088,66.000089,64.125103,65.750092,1779200,31.322302
1993-03-24,63.250096,64.375099,63.000087,64.000092,1555500,30.48863
1993-03-23,62.500088,63.500099,62.500088,63.250096,1164900,30.131343
1993-03-22,61.250087,62.375083,61.125095,62.125087,2401700,29.595407
1993-03-19,64.875092,64.875092,62.500088,62.500088,2149200,29.774051
1993-03-18,64.250088,65.2501,63.625085,64.750088,1933100,30.845916
1993-03-17,65.500096,65.625101,63.750096,64.000092,2990600,30.48863
1993-03-16,65.125089,66.500101,64.750088,66.000089,2332900,31.441396
1993-03-15,64.875092,65.375091,64.250088,65.375091,1999400,31.143657
1993-03-12,63.000087,65.000103,63.000087,65.000103,2337100,30.965019
1993-03-11,63.875087,64.625096,63.250096,64.000092,3173700,30.48863
1993-03-10,61.750099,63.250096,61.250087,63.250096,2028300,30.131343
1993-03-09,62.000095,62.750084,61.875084,62.125087,2562300,29.595407
1993-03-08,59.250083,62.250091,59.250083,62.000095,2069400,29.483462
1993-03-05,59.375094,62.250091,58.750091,60.250095,2397900,28.651268
1993-03-04,60.375086,60.375086,58.750091,59.375094,1846700,28.235172
1993-03-03,58.375083,60.250095,58.250079,60.000079,2660100,28.532376
1993-03-02,57.750079,58.250079,57.125082,58.000082,2446700,27.5813
1993-03-01,58.500094,58.750091,56.000079,56.750075,1684800,26.986872
1993-02-26,59.250083,59.250083,58.125087,58.750091,1415000,27.937958
1993-02-25,58.500094,59.250083,57.500083,57.87509,1572900,27.521861
1993-02-24,56.625083,58.62508,56.375086,58.500094,1942000,27.819075
1993-02-23,56.375086,57.00009,55.875074,56.750075,1334600,26.986872
1993-02-22,57.625094,58.250079,55.750082,55.750082,1930400,26.511337
1993-02-19,56.12509,58.375083,55.750082,58.125087,2456600,27.640744
1993-02-18,56.000079,56.000079,54.750078,55.750082,2977400,26.511337
1993-02-17,52.750078,54.750078,52.750078,54.500075,2853800,25.91691
1993-02-16,54.750078,54.750078,52.250081,52.62507,3024100,25.025272
1993-02-12,55.500086,55.875074,54.250078,54.625086,1823600,25.976357
1993-02-11,57.00009,57.00009,55.875074,56.000079,2522800,26.63022
1993-02-10,54.625086,55.875074,54.625086,55.875074,2849800,26.570776
1993-02-09,54.500075,54.500075,53.50007,53.750085,2473500,25.560261
1993-02-08,53.125082,54.625086,53.125082,53.750085,2242400,25.560261
1993-02-05,54.500075,55.375081,53.250074,53.375078,3044800,25.38193
1993-02-04,55.25009,55.750082,54.625086,54.750078,3935600,26.035796
1993-02-03,54.625086,55.125079,54.125074,54.37507,5283500,25.857465
1993-02-02,53.750085,54.625086,53.250074,54.250078,5964100,25.798027
1993-02-01,52.500078,54.000082,51.250073,53.750085,10882700,25.560261
1993-01-29,54.875082,55.000074,48.750062,51.000077,22063700,24.252524
1993-01-28,56.875079,57.00009,54.000082,55.875074,5766000,26.570776
1993-01-27,59.000087,59.000087,56.625083,57.375078,4057600,27.284086
1993-01-26,61.000084,61.000084,58.750091,59.000087,3454500,28.056841
1993-01-25,60.000079,61.625088,58.875082,61.125095,2817700,29.067365
1993-01-22,61.875084,61.875084,58.62508,59.125079,3498100,28.116279
1993-01-21,60.125084,62.375083,59.750083,61.375091,2057800,29.186248
1993-01-20,61.375091,61.625088,60.375086,60.500091,1862100,28.770151
1993-01-19,60.625083,63.000087,60.250095,61.625088,2746700,29.305131
1993-01-18,120.250167,123.250175,118.500167,122.750182,3176400,29.186248
1993-01-15,121.250166,124.500183,119.250181,121.250166,6559700,28.82959
1993-01-14,115.500159,123.37518,115.500159,123.250175,10252900,29.305131
1993-01-13,110.250157,113.750158,110.250157,112.375146,3342500,26.719381
1993-01-12,112.25018,112.875177,110.000148,111.37516,2723600,26.481615
1993-01-11,109.00015,113.000156,109.00015,112.750172,2230100,26.808551
1993-01-08,108.000164,109.750164,107.250149,109.500155,2278500,26.035796
1993-01-07,108.500157,110.125153,108.000164,109.250171,2966400,25.976357
1993-01-06,106.500147,108.750141,106.500147,108.125168,3562400,25.708866
1993-01-05,103.625144,106.250163,103.125151,105.75017,1942900,25.144164
1993-01-04,104.000132,105.25014,103.00014,103.375166,1406200,24.57946
1992-12-31,105.62516,105.75017,103.500139,104.500163,575400,24.84695
1992-12-30,105.500155,105.62516,104.375158,105.25014,978000,25.025272
1992-12-29,104.750147,106.375143,104.500163,105.25014,1444400,25.025272
1992-12-28,103.875159,104.625136,103.750155,104.625136,527000,24.876665
1992-12-24,104.500163,105.000156,104.000132,104.125143,375400,24.757782
1992-12-23,103.125151,105.500155,103.00014,104.375158,960500,24.817228
1992-12-22,103.125151,103.625144,102.625152,103.00014,1347200,24.490291
1992-12-21,104.000132,104.625136,103.125151,103.250155,1404900,24.549737
1992-12-18,105.25014,105.75017,104.625136,104.750147,1599900,24.906389
1992-12-17,102.500147,105.000156,102.250132,104.625136,2041000,24.876665
1992-12-16,100.250154,102.750162,100.250154,101.750139,1841700,24.193078
